id;description;information;brand;code_1;code_2;category;id_integration;code_integration;NCM;CEST;sale_unit;sale_unit_description;multiple_of_sale;physical_stock;available_stock;localization;promotion_date_initial;promotion_date_final;promotion_day;promotion_price;has_image;
375;PARAF AUTO ATARRAXANTE PANELA PHILIPS 4,8X32 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;9,34;9,34;C8: O-08;;;-------;0;0;
376;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X25 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;9;9;C8: O-20;;;-------;0;0;
377;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X32 MM;;;;;000236;;1005800;73181400;1005800;CT;CENTO;0,01;6,02;6,02;C8: O-20;;;-------;0;0;
378;PARAF RODA CROMADA FIAT M12X1,25X28 MM CHAVE 19 ACENTAMENTO CONICO;UNO / TEMPRA / MAREA / FIORINO / BRAVA / ELBA / BAKCHETTA / IDEA / PREMIO / PANDA / COUPE / PUNTO / LADA / ALFA ROMEO / CROMA;;6001P;;000284;;0199900;73181500;0199900;UN;UNIDADE;1;15;15;C6: K-20;;;-------;0;0;
379;PARAF RODA CROMADA FIAT M12X1,25X32 MM CHAVE 19 ACENTAMENTO CONICO;PALIO 16V / WEEKEND / SIENA / STRADA;;6004P;;000284;;0199900;73181500;0199900;UN;UNIDADE;1;46;46;C6: K-19;;;-------;0;0;
380;PORCA SEXT TRAVANTE NYLON 5/8NF ZINCADA BRANCA CHAVE 15/16;;;;;000477;;1005800;73181600;1005800;CT;CENTO;0,01;2,23;2,23;C4: H-35;;;-------;0;0;
382;PINO ELASTICO 12X60 MM;;;;;000343;;1005800;73182900;1005800;CT;CENTO;0,01;0,33;0,33;GAVETAS 05: 47;;;-------;0;0;
383;GRAXEIRA RETA 3/8 ( 1/8 );;;;;000171;;;84879000;;UN;UNIDADE;1;2465;2465;GAVETAS 01: 07;;;-------;0;0;
386;ABRAÇADEIRA RSF 22X32 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;707;707;C9: Q-30;;;-------;0;0;
388;PARAF AUTO ATARRAXANTE PANELA PHILIPS 5,5X38 MM ZINCADO PRETO;;;;;000236;;1005800;73181500;1005800;CT;CENTO;0,01;1;1;;;;;0;0;
392;PARAF SEXT AÇO (GRAU 5) 3/4X3 NF ENEGRECIDO (RP);;;;;000300;;1005800;73181500;1005800;CT;CENTO;0,01;0,53;0,53;C3: E-38;;;-------;0;0;
394;ABRAÇADEIRA SIMPLEX 15 MM;;SUPRENS;;;000005;;1006200;73261900;1006200;UN;UNIDADE;1;0;0;;;;-------;0;0;
395;ABRAÇADEIRA RSF 57X76 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;307;307;C9: Q-26;;;-------;0;0;
455;ARRUELA LISA (DIN 125) 14 MM ZINCADA BRANCA;;;;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;4,12;4,12;C7: N-38;;;-------;0;0;
456;ARRUELA LISA (DIN 125) 12 MM ZINCADA BRANCA;;;212C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;48,21;48,21;C7: N-37;;;-------;0;0;
457;ARRUELA LISA (DIN 125) 10 MM ZINCADA BRANCA;;;210C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;38,47;38,47;C7: N-37;;;-------;0;0;
458;ARRUELA LISA (DIN 125) 8 MM ZINCADA BRANCA;;;28C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;8,58;8,58;C7: N-36;;;-------;0;0;
459;ARRUELA LISA (DIN 125) 6 MM ZINCADA BRANCA;;;26C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;12,71;12,71;C7: N-36;;;-------;0;0;
460;ARRUELA LISA 1 ZINCADA BRANCA;;;11C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;8,33;8,33;C5: J-55;;;-------;0;0;
462;ARRUELA LISA 5/16 ZINCADA BRANCA;;;151615C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;78,22;78,22;C5: J-59;;;-------;0;0;
463;ARRUELA LISA (DIN 125) 20 MM ZINCADA BRANCA;;;220C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;5,75;5,75;C7: N-39;;;-------;0;0;
464;ARRUELA LISA 5/8 ZINCADA BRANCA;;;158C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;15,87;13,85;C5: J-56;;;-------;0;0;
465;ARRUELA LISA 3/4 ZINCADA BRANCA;;;134C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;10,96;9,46;C5: J-56;;;-------;0;0;
466;ARRUELA LISA 9/16 ZINCADA BRANCA;;;1916C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;12,6;12,6;C5: J-57;;;-------;0;0;
467;ARRUELA LISA 7/16 ZINCADA BRANCA;;;1716C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;8,38;8,38;C5: J-58;;;-------;0;0;
468;ARRUELA LISA 3/16 ZINCADA BRANCA;;;13161C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;20,27;19,27;C5: J-60;;;-------;0;0;
469;ARRUELA LISA 3/8 ZINCADA BRANCA;;;13815C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;74,51;71,51;C5: J-58;;;-------;0;0;
470;ARRUELA LISA PESADA 5/16 ZINCADA BRANCA;;;15163C1;;000038;;1005800;73182200;1005800;CT;CENTO;0,01;4,19;4,19;C6: L-51;;;-------;0;0;
471;ARRUELA LISA ABA LARGA 7/16 ZINCADA BRANCA;;;;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;3,82;3,82;C7: M-52;;;-------;0;0;
474;ARRUELA LISA PESADA 3/4 ZINCADA BRANCA;;;;;000038;;1005800;73182200;1005800;CT;CENTO;0,01;0;0;;;;-------;0;0;
475;ARRUELA LISA PESADA 9/16 POLIDA;;;;;000038;;1005800;73182200;1005800;CT;CENTO;0,01;2,79;2,79;C6: L-53;;;-------;0;0;
476;ARRUELA LISA PESADA 1/2 ZINCADA BRANCA;;;;;000038;;1005800;73182200;1005800;CT;CENTO;0,01;0;0;;;;-------;0;0;
477;ARRUELA LISA (DIN 125) 16 MM ZINCADA BRANCA;;;216C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;12,5;12,5;C7: N-38;;;-------;0;0;
479;ARRUELA LISA (DIN 125) 18 MM ZINCADA BRANCA;;;;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;3,43;3,43;C7: N-39;;;-------;0;0;
480;ARRUELA LISA PESADA 1/4 ZINCADA BRANCA;;;;;000038;;1005800;73182200;1005800;CT;CENTO;0,01;9,93;9,93;;;;-------;0;0;
481;ARRUELA LISA ABA LARGA 3/16 ZINCADA BRANCA;;;3316C1;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;5,61;5,61;C7: M-51;;;-------;0;0;
482;ARRUELA LISA ABA LARGA 1/2 ZINCADA BRANCA;;;312C1;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;4,11;4,11;C7: M-53;;;-------;0;0;
483;ARRUELA LISA ABA LARGA 3/8 ZINCADA BRANCA;;;338C1;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;11,05;9,05;C7: M-52;;;-------;0;0;
484;ARRUELA LISA ABA LARGA 5/16 ZINCADA BRANCA;;;;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;0;0;;;;-------;0;0;
485;ARRUELA LISA ABA LARGA 1/4 ZINCADA BRANCA;;;314C1;;000035;;1005800;73182200;1005800;CT;CENTO;0,01;8,77;8,77;;;;-------;0;0;
486;ARRUELA LISA 1/2 ZINCADA BRANCA;;;1122C1;;000034;;1005800;73182200;1005800;CT;CENTO;0,01;39,69;39,69;C5: J-57;;;-------;0;0;
513;PARAF SEXT AÇO (8.8) 12X120 MA ENEGRECIDO (RI);PASSO 1,75MM / CHAVE 19;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;0;0;;;;;0;0;
514;PARAF SEXT AÇO (8.8) 16X100 MA ENEGRECIDO (RI);PASSO 2,00MM / CHAVE 24;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;0,8;0,8;C4: G-13;;;-------;0;0;
516;PORCA SEXT CASTELO 1.1/8NF POLIDA S/ COROA CHAVE 1.5/8;;;;;000516;;1005800;73181600;1005800;CT;CENTO;0,01;0,37;0,37;C3: F-42;;;-------;0;0;
517;PARAF SEXT AÇO (8.8) 10X80 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 17;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,93;0,93;;;;-------;0;0;
518;PARAF SEXT AÇO (8.8) 12X40 FIAT ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 19;;;;000291;;1005800;73181500;1005800;CT;CENTO;0,01;0,04;0,04;C1: B-15;;;-------;0;0;
519;PORCA SEXT FERRO (CLASSE 6) 6MA ZINCADA BRANCA CHAVE 10;;;;;000493;;1005800;73181600;1005800;CT;CENTO;0,01;0;0;C4: G-21;;;-------;0;0;
520;PORCA SEXT FERRO (CLASSE 6) 10FIAT ZINCADA BRANCA CHAVE 17;PASSO 1,25 MM;;;;000497;;1005800;73181600;1005800;CT;CENTO;0,01;1,47;1,47;C1: B-19;;;-------;0;0;
521;PORCA SEXT FERRO (CLASSE 6) 12FIAT ZINCADA BRANCA CHAVE 19;PASSO 1,25 MM;;;;000497;;1005800;73181600;1005800;CT;CENTO;0,01;1,75;1,75;C1: B-18;;;-------;0;0;
522;PORCA SEXT TRAVANTE NYLON 12FIAT ZINCADA BRANCA CHAVE 19;PASSO 1,25 MM;;;;000476;;1005800;73181600;1005800;CT;CENTO;0,01;1,22;1,22;C1: B-18;;;-------;0;0;
523;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 14MB ZINCADA BRANCA CHAVE 22;;;;;000475;;1005800;73181600;1005800;CT;CENTO;0,01;11,67;11,67;C4: H-25;;;-------;0;0;
524;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 16MB ZINCADA BRANCA CHAVE 24;;;;;000475;;1005800;73181600;1005800;CT;CENTO;0,01;4,34;4,34;C4: H-24;;;-------;0;0;
525;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 18MB ZINCADA BRANCA CHAVE 27;;;;;000475;;1005800;73181600;1005800;CT;CENTO;0,01;4,21;4,21;C4: H-24;;;-------;0;0;
526;PORCA SEXT FERRO (CLASSE 6) 10MA ZINCADA BRANCA CHAVE 17;;;;;000493;;1005800;73181600;1005800;CT;CENTO;0,01;39,59;39,59;C4: G-23;;;-------;0;0;
527;PORCA SEXT FERRO (CLASSE 6) 8MA ZINCADA BRANCA CHAVE 13;;;;;000493;;1005800;73181600;1005800;CT;CENTO;0,01;63,17;63,17;C4: G-22;;;-------;0;0;
528;PORCA SEXT FERRO (CLASSE 6) 12MA ZINCADA BRANCA CHAVE 19;;;;;000493;;1005800;73181600;1005800;CT;CENTO;0,01;14,13;14,13;C4: G-24;;;-------;0;0;
529;PORCA SEXT TRAVANTE NYLON 10FIAT ZINCADA BRANCA CHAVE 17;PASSO 1,25 MM;;;;000476;;1005800;73181600;1005800;CT;CENTO;0,01;0,07;-30,13;C1: B-19;;;-------;0;0;
530;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 6MA ZINCADA BRANCA CHAVE 10;;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;6,41;-13,59;C4: H-30;;;-------;0;0;
531;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 8MA ZINCADA BRANCA CHAVE 13;;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;37,48;37,48;C4: H-30;;;-------;0;0;
532;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 10MA ZINCADA BRANCA CHAVE 17;PASSO 1,50 MM;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;12,69;12,69;C4: H-29;;;-------;0;0;
533;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 12MA ZINCADA BRANCA CHAVE 19;PASSO 1,75 MM;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;1,49;1,49;C4: H-29;;;-------;0;0;
534;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 14MA ZINCADA BRANCA CHAVE 22;;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;16,09;16,09;C4: H-28;;;-------;0;0;
535;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 16MA ZINCADA BRANCA CHAVE 24;;;;;000474;;1005800;73181600;1005800;CT;CENTO;0,01;31,04;31,04;C4: H-28;;;-------;0;0;
536;PORCA SEXT TRAVANTE NYLON AÇO (CLASSE 8) 12MB ZINCADA BRANCA CHAVE 19;;;;;000475;;1005800;73181600;1005800;CT;CENTO;0,01;10,85;10,85;C4: H-25;;;-------;0;0;
538;PARAF SEXT AÇO (8.8) 6X20 MA ENEGRECIDO (RI);PASSO 1,00MM / CHAVE 10;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;27,56;27,56;C1: A-05;;;-------;0;0;
539;PARAF SEXT AÇO (8.8) 6X25 MA ENEGRECIDO (RI);PASSO 1,00MM / CHAVE 10;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;15,54;15,54;C1: A-05;;;-------;0;0;
540;PARAF SEXT AÇO (8.8) 8X20 MA ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 13;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;44,92;44,92;C1: A-11;;;-------;0;0;
541;PARAF SEXT AÇO (8.8) 8X25 MA ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 13;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;34,29;34,29;C1: A-12;;;-------;0;0;
542;PARAF SEXT AÇO (8.8) 8X30 MA ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 13;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;21,63;19,57;C1: A-13;;;-------;0;0;
543;PARAF SEXT AÇO (8.8) 8X40 MA ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 13;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;28,31;28,31;C1: A-14;;;-------;0;0;
544;PARAF SEXT AÇO (8.8) 8X50 MA ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 13;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;31,85;31,85;C1: A-16;;;-------;0;0;
545;PARAF SEXT AÇO (8.8) 10X25 MA ENEGRECIDO (RI);PASSO 1,50MM / CHAVE 17;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;4,63;4,63;C1: A-22;;;-------;0;0;
546;PARAF SEXT AÇO (8.8) 10X30 MA ENEGRECIDO (RI);PASSO 1,50MM / CHAVE 17;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;13,51;13,51;C1: A-23;;;-------;0;0;
547;PARAF SEXT AÇO (8.8) 10X40 MA ENEGRECIDO (RI);PASSO 1,50MM / CHAVE 17;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;7,51;7,01;C1: A-24;;;-------;0;0;
548;PARAF SEXT AÇO (8.8) 10X50 MA ENEGRECIDO (RI);PASSO 1,50MM / CHAVE 17;;;;000287;;1005800;73181500;1005800;CT;CENTO;0,01;8,24;7,74;C1: A-26;;;-------;0;0;
549;PARAF SEXT AÇO (8.8) 10X30 FIAT ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 17;;;;000291;;1005800;73181500;1005800;CT;CENTO;0,01;1,1;1,1;C1: B-11;;;-------;0;0;
550;PARAF SEXT AÇO (8.8) 10X40 FIAT ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 17;;;;000291;;1005800;73181500;1005800;CT;CENTO;0,01;1,22;1,22;C1: B-11;;;-------;0;0;
551;PARAF SEXT AÇO (8.8) 10X50 FIAT ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 17;;;;000291;;1005800;73181500;1005800;CT;CENTO;0,01;1,38;1,38;C1: B-12;;;-------;0;0;
552;PARAF SEXT AÇO (8.8) 10X100 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 17;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,39;0,39;;;;-------;0;0;
553;PARAF SEXT AÇO (8.8) 12X50 FIAT ENEGRECIDO (RI);PASSO 1,25MM / CHAVE 19;;;;000291;;1005800;73181500;1005800;CT;CENTO;0,01;0,54;0,54;C1: B-15;;;-------;0;0;
554;PARAF SEXT AÇO (8.8) 12X60 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 19;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;1,15;1,15;C1: B-16;;;-------;0;0;
555;PARAF SEXT AÇO (8.8) 12X80 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 19;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,43;0,43;;;;-------;0;0;
558;ABRAÇADEIRA RSF 25X38 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;313;313;C9: Q-29;;;-------;0;0;
559;SERRA MANUAL STARRET;;STARRET;RS1224;;000030;;0800600;82029100;0800600;UN;UNIDADE;1;1;1;;;;-------;0;0;
561;ABRAÇADEIRA RSF 13X19 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;582;582;C9: Q-31;;;-------;0;0;
562;FITA ADESIVA PARA EMPACOTAMENTO TRANSPARENTE 45MM X 45M;;;;;000153;;1000800;39191010;1000800;UN;UNIDADE;1;506;506;EXPEDIÇÃO;;;-------;0;0;
563;ABRAÇADEIRA RSF 12X16 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;526;526;C9: Q-32;;;-------;0;0;
564;SERRA MANUAL BIMETAL EXTRAFLEX NICHOLSON;;NICHOLSON;NF1224B;;000030;;0800600;82029100;0800600;UN;UNIDADE;1;27;27;;;;-------;0;0;
565;ABRAÇADEIRA RSF 9X13 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;533;533;C9: Q-32;;;-------;0;0;
566;ABRAÇADEIRA RSF 14X22 MM FITA 9 MM;;SUPRENS;;;000008;;1006200;73269090;1006200;UN;UNIDADE;1;644;644;C9: Q-31;;;-------;0;0;
571;PARAF AUTO FALANTE 227;;;;;000240;;0199900;73181500;0199900;CT;CENTO;0,01;0;0;;;;-------;0;0;
574;PARAF SEXT AÇO (8.8) 10X60 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 17;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,25;0,25;C1: B-12;;;-------;0;0;
575;PARAF SEXT AÇO (8.8) 10X90 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 17;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,59;0,59;;;;-------;0;0;
576;PARAF SEXT AÇO (8.8) 10X120 FIAT ENEGRECIDO (RP);PASSO 1,25MM / CHAVE 17;;;;000292;;1005800;73181500;1005800;CT;CENTO;0,01;0,46;0,46;;;;-------;0;0;
582;PORCA SEXT FERRO (CLASSE 6) 30MA ZINCADA BRANCA CHAVE 46;;;;;000493;;1005800;73181600;1005800;CT;CENTO;0,01;0,2;0,2;;;;-------;0;0;
624;BROCA VIDEA PARA CONCRETO 10 MM LINHA MASTER TRAMONTINA;;;43142110;;000064;;0801300;82071900;0801300;UN;UNIDADE;1;7;7;EXPOSITOR BROCA;;;XXXXXXX;0;0;
625;BROCA VIDEA PARA CONCRETO 12 MM LINHA MASTER TRAMONTINA;;;43142112;;000064;;0801300;82071900;0801300;UN;UNIDADE;1;9;9;EXPOSITOR BROCA;;;XXXXXXX;0;0;
626;BROCA VIDEA PARA CONCRETO 4 MM LINHA MASTER TRAMONTINA;;;43142104;;000064;;0801300;82071900;0801300;UN;UNIDADE;1;6;6;EXPOSITOR BROCA;;;XXXXXXX;0;0;
627;BROCA VIDEA PARA CONCRETO 5 MM LINHA MASTER TRAMONTINA;;;43142105;;000064;;0801300;82071900;0801300;UN;UNIDADE;1;13;13;EXPOSITOR BROCA;;;XXXXXXX;0;0;
628;BROCA AÇO RAPIDO 6 MM LINHA MASTER TRAMONTINA;;;43141033;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;0;0;EXPOSITOR BROCA;;;XXXXXXX;0;0;
629;BROCA AÇO RAPIDO 10 MM LINHA MASTER TRAMONTINA;;;43141044;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;-2;-2;EXPOSITOR BROCA;;;XXXXXXX;0;0;
630;BROCA AÇO RAPIDO 3 MM LINHA MASTER TRAMONTINA;;;43141013;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;-1;-1;EXPOSITOR BROCA;;;XXXXXXX;0;0;
631;BROCA AÇO RAPIDO 3,5 MM LINHA MASTER TRAMONTINA;;;43141019;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;0;0;EXPOSITOR BROCA;;;XXXXXXX;0;0;
632;BROCA AÇO RAPIDO 5 MM LINHA MASTER TRAMONTINA;;;43141029;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;-1;-1;EXPOSITOR BROCA;;;XXXXXXX;0;0;
633;BROCA AÇO RAPIDO 11 MM LINHA MASTER TRAMONTINA;;;;;000060;;0801300;82075011;0801300;UN;UNIDADE;1;2;2;EXPOSITOR BROCA;;;XXXXXXX;0;0;
